@relation R_data_frame

@attribute V1 {1,2}
@attribute V2 numeric
@attribute V3 numeric
@attribute V4 {1,2,3}
@attribute V5 numeric
@attribute V6 numeric
@attribute V7 numeric
@attribute V8 {1,2}
@attribute V9 {1,2}
@attribute V10 numeric
@attribute V11 {1,2}
@attribute V12 {1,2,3}
@attribute V13 numeric
@attribute V14 numeric
@attribute Class {1,2}

@data
2,2208,1146,2,4,4,1585,1,1,0,2,2,100,1213,1
1,2267,7,2,8,4,165,1,1,0,1,2,160,1,1
1,2958,175,1,4,4,125,1,1,0,2,2,280,1,1
1,2167,115,1,5,3,0,2,2,11,2,2,0,1,2
2,2017,817,2,6,4,196,2,2,14,1,2,60,159,2
1,1583,585,2,8,8,15,2,2,2,1,2,100,1,2
2,1742,65,2,3,4,125,1,1,0,1,2,60,101,1
1,5867,446,2,11,8,304,2,2,6,1,2,43,561,2
2,2783,1,1,2,8,3,1,1,0,1,2,176,538,1
1,5575,708,2,4,8,675,2,2,3,2,2,100,51,1
2,335,175,2,14,8,45,2,2,4,2,2,253,858,2
2,4142,5,2,11,8,5,2,2,6,2,2,470,1,2
2,2067,125,1,8,8,1375,2,2,3,2,2,140,211,1
2,3492,5,2,14,8,75,2,2,6,2,2,0,1001,2
2,5858,271,2,8,4,2415,1,1,0,2,2,320,1,1
2,4808,604,2,4,4,4,1,1,0,1,2,0,2691,2
2,2958,45,2,9,4,75,2,2,2,2,2,330,1,2
1,1892,9,2,6,4,75,2,2,2,1,2,88,592,2
2,20,125,1,4,4,125,1,1,0,1,2,140,5,1
1,2242,5665,2,11,4,2585,2,2,7,1,2,129,3258,2
1,2817,585,2,6,4,4,1,1,0,1,2,260,1005,1
1,1917,585,1,6,4,585,2,1,0,2,2,160,1,1
2,4117,1335,2,2,4,165,1,1,0,1,2,168,1,1
2,4158,175,2,4,4,21,2,1,0,1,2,160,1,1
2,195,9585,2,6,4,79,1,1,0,1,2,80,351,1
2,3275,15,2,13,8,55,2,2,3,2,2,0,1,2
2,225,125,1,4,4,125,1,1,0,1,2,200,71,1
2,3317,304,1,8,8,204,2,2,1,2,2,180,18028,2
1,3067,12,2,8,4,2,2,2,1,1,2,220,20,2
2,2308,25,2,8,4,1085,2,2,11,2,2,60,2185,2
2,27,75,2,8,8,425,2,2,3,2,2,312,151,2
1,2042,105,1,14,8,0,1,1,0,2,2,154,33,1
2,5233,1375,1,8,8,946,2,1,0,2,2,200,101,1
2,2308,115,2,9,8,2125,2,2,11,2,2,290,285,2
2,4283,125,2,7,4,13875,1,2,1,2,2,352,113,1
2,7483,19,1,1,1,4,1,2,2,1,2,0,352,1
2,25,125,2,6,4,3,2,1,0,2,1,20,1,2
2,3958,13915,2,9,4,8625,2,2,6,2,2,70,1,2
1,4775,8,2,8,4,7875,2,2,6,2,2,0,1261,2
1,4742,3,2,14,4,13875,2,2,2,2,2,519,1705,2
2,2317,0,2,13,4,85,2,1,0,1,2,0,1,2
2,2258,15,1,6,4,54,1,1,0,2,2,120,68,1
2,2675,1125,2,14,8,125,2,1,0,1,2,0,5299,2
2,6333,54,2,8,4,585,2,2,3,2,2,180,1,1
2,2375,415,1,8,4,4,1,2,2,1,2,128,7,1
1,2075,1025,2,11,4,71,2,2,2,2,2,49,1,2
1,245,175,1,8,4,165,1,1,0,1,2,132,1,1
2,1617,4,2,8,4,4,1,1,0,1,2,0,1,2
1,295,2,1,10,8,2,1,1,0,1,2,256,18,1
1,5283,15,2,8,4,55,2,2,14,1,2,0,2201,2
2,3233,35,2,4,4,5,1,1,0,2,2,232,1,1
2,2108,4125,1,3,8,4,1,1,0,1,2,140,101,1
2,2817,125,1,4,4,85,1,1,0,1,2,216,2101,1
2,19,175,1,8,4,2335,1,1,0,2,2,112,7,1
2,2758,325,1,11,8,5085,1,2,2,2,2,369,2,1
2,2783,15,2,9,4,2,2,2,11,2,2,434,36,2
2,40,65,2,6,5,35,2,2,1,1,2,0,501,2
1,3733,25,2,3,8,21,1,1,0,1,2,260,247,1
2,425,4915,1,9,4,3165,2,1,0,2,2,52,1443,2
2,5675,1225,2,7,4,125,2,2,4,2,2,200,1,2
2,4317,5,2,3,5,225,1,1,0,2,2,141,1,1
1,2375,71,2,9,4,25,1,2,1,2,2,240,5,1
2,185,2,2,3,4,15,2,2,2,1,2,120,301,2
1,4083,35,2,3,5,5,1,1,0,1,1,1160,1,1
1,245,5,2,11,8,15,2,1,0,1,2,280,825,2
2,42,979,2,14,8,796,2,2,8,1,2,0,1,2
1,195,165,2,11,4,4,1,1,0,2,2,380,1,1
2,215,115,2,3,4,5,2,1,0,2,2,100,69,1
2,3125,2835,2,1,1,0,1,2,5,1,2,176,147,1
2,2725,1585,2,13,8,1835,2,2,12,2,2,583,714,2
2,4875,26335,1,1,1,0,2,1,0,2,2,0,1,1
1,3042,1375,2,9,8,4,1,2,3,1,2,0,34,1
2,2942,125,2,9,4,175,1,1,0,1,2,200,1,1
2,2825,504,1,8,5,15,2,2,8,2,2,144,8,2
2,4025,215,2,10,9,20,2,2,11,1,2,0,1201,2
2,365,425,2,11,4,35,1,1,0,1,2,454,51,1
2,2558,335,2,4,8,35,1,1,0,2,2,340,1,1
2,2983,35,2,8,4,165,1,1,0,1,2,216,1,1
2,2308,0,2,4,4,1,1,2,11,1,1,0,1,1
1,3217,146,2,9,4,1085,2,2,16,1,2,120,2080,2
2,2517,35,2,13,4,625,2,2,7,1,2,0,7060,2
1,3517,375,2,1,1,0,1,2,6,1,2,0,201,1
1,1858,10,2,2,4,415,1,1,0,1,2,80,43,1
2,3992,5,2,3,5,21,1,1,0,1,2,550,1,1
2,2342,1,2,8,4,5,1,1,0,2,1,280,1,1
2,3758,0,2,8,4,0,1,1,0,1,3,184,1,2
1,2475,13665,2,11,8,15,1,1,0,1,2,280,2,1
1,47,13,2,3,5,5165,2,2,9,2,2,0,1,2
2,3417,525,2,9,4,85,1,1,0,2,2,290,7,2
2,2217,585,1,1,1,0,1,1,0,1,2,100,1,1
2,2775,129,2,4,8,25,1,1,0,2,1,140,1,1
2,4275,4085,2,6,4,4,1,1,0,1,2,108,101,1
2,2867,145,2,2,4,125,1,1,0,1,2,0,287,1
2,3625,5,2,8,5,25,2,2,6,1,2,0,368,2
1,1817,10,1,11,8,165,1,1,0,1,2,340,1,1
2,2125,15,2,9,4,15,1,1,0,1,2,150,9,2
1,3892,1665,2,6,4,25,1,1,0,1,2,0,391,1
2,3183,4,1,7,4,4,1,1,0,1,2,0,1,1
1,1733,95,2,6,4,175,1,2,10,2,2,0,11,1
1,2042,835,2,11,4,1585,2,2,1,1,2,0,1,2
1,3908,4,2,8,4,3,1,1,0,1,2,480,1,1
2,3867,21,2,4,4,85,2,1,0,2,2,280,1,2
2,2767,1375,2,9,4,575,2,1,0,2,2,487,501,2
2,2775,585,1,13,4,25,2,2,2,1,2,260,501,2
2,19,0,1,1,1,0,1,2,4,1,2,45,2,1
1,25,875,2,14,8,104,2,1,0,2,2,160,5861,2
2,2767,2,2,14,8,1,2,2,4,1,2,140,7545,2
2,2225,9,2,6,4,85,1,1,0,1,2,0,1,1
1,4983,13585,2,4,8,85,2,1,0,2,2,0,1,2
2,3233,25,2,8,4,125,1,1,0,2,2,280,1,1
2,3825,10125,1,4,4,125,1,1,0,1,2,160,1,1
2,4733,65,2,8,4,1,1,1,0,2,2,0,229,1
2,2783,4,1,3,8,575,2,2,2,2,2,75,1,1
1,3575,915,2,6,4,75,2,2,4,1,2,0,1584,2
2,3358,25,2,3,5,4,1,1,0,2,1,420,1,1
2,3408,8,1,7,5,4,2,2,1,2,2,280,2001,2
1,2075,10335,2,13,8,335,2,2,1,2,2,80,51,2
2,3317,1,2,14,4,75,2,2,7,2,2,340,4072,2
2,2275,11,2,11,4,25,2,2,7,2,2,100,810,2
2,4875,85,2,8,8,125,2,2,9,1,2,181,1656,2
2,4058,5,2,8,4,5,2,2,7,1,2,0,3066,2
2,2067,835,1,8,4,2,1,1,0,2,1,240,1,1
1,3875,15,2,1,1,0,1,1,0,1,2,76,1,1
1,5708,195,2,8,4,55,2,2,7,1,2,0,3001,2
1,3125,375,2,13,8,625,2,2,9,2,2,181,1,2
2,22,79,2,9,4,29,1,2,1,1,2,420,284,1
1,5833,10,2,11,4,4,2,2,14,1,2,0,1603,2
2,2892,375,2,8,4,29,1,1,0,1,2,220,141,1
1,46,4,2,5,3,0,2,1,0,1,2,100,961,2
2,21,3,1,2,4,1085,2,2,8,2,2,160,2,2
1,2475,125,2,6,4,15,2,2,12,2,2,120,568,2
1,2083,5,1,10,2,1,1,1,0,1,2,260,1,1
2,2458,135,1,1,1,0,1,1,0,1,2,184,1,1
1,265,271,1,8,4,85,1,1,0,1,1,80,1,1
2,4092,835,2,1,1,0,2,1,0,1,2,130,2,1
1,3833,4415,2,8,4,125,1,1,0,1,2,160,1,1
2,1958,585,2,1,1,0,1,2,3,1,2,350,770,1
2,3925,95,2,7,4,65,2,2,14,1,2,240,4608,2
2,2575,5,2,8,4,146,2,2,5,2,2,312,1,2
1,4608,3,2,8,4,2375,2,2,8,2,2,396,4160,2
2,1967,10,1,4,8,835,2,1,0,2,2,140,1,1
1,2225,125,1,1,1,325,1,1,0,1,2,280,1,1
2,1883,354,1,1,1,0,1,1,0,2,2,180,2,1
2,6408,20,2,14,8,175,2,2,9,2,2,0,1001,2
1,165,125,2,11,4,25,1,2,1,1,2,108,99,1
1,6867,15,2,10,9,0,2,2,14,1,2,0,3377,2
2,7675,2229,2,10,9,1275,2,2,1,2,2,0,110,2
1,1592,2875,2,11,4,85,1,1,0,1,2,120,1,1
2,3483,4,2,2,5,125,2,1,0,2,2,184,1,1
1,4742,8,2,10,5,65,2,2,6,1,2,375,51101,2
2,2317,0,2,8,4,0,1,1,0,1,3,184,1,2
2,4517,15,2,8,4,25,2,1,0,2,2,140,1,1
2,1517,7,2,10,4,1,1,1,0,1,2,600,1,1
2,1883,415,1,8,4,165,1,2,1,1,2,200,2,1
2,525,65,2,4,4,629,2,2,15,1,2,0,11203,2
2,1917,0,1,7,5,0,1,1,0,2,1,500,2,2
2,18,165,2,11,7,21,1,1,0,1,2,200,41,2
2,375,835,2,10,4,4,1,1,0,1,2,120,6,1
2,2267,1585,1,9,4,3085,2,2,6,1,2,80,1,2
2,4783,4165,2,14,5,85,1,1,0,2,2,520,1,1
2,3408,25,2,8,4,1,1,1,0,1,2,460,17,1
1,3308,1625,2,2,4,54,1,1,0,2,2,0,1,1
2,4308,375,1,8,4,375,2,2,8,2,2,300,163,2
2,345,404,1,3,5,85,2,2,7,2,2,195,1,2
2,4275,3,2,3,5,1,2,1,0,1,2,0,201,1
2,1825,165,2,2,4,25,1,1,0,2,1,280,1,1
2,2308,25,2,1,1,85,1,1,0,2,2,100,4209,1
1,225,846,1,14,4,246,1,1,0,1,2,164,1,2
2,1792,205,2,6,4,4,1,1,0,1,2,280,751,1
2,1842,10415,1,6,4,125,2,1,0,1,2,120,376,1
1,2767,15,2,7,4,2,2,1,0,1,1,368,1,1
1,1892,925,1,8,4,1,2,2,4,2,2,80,501,2
2,2267,75,2,3,4,1585,1,2,1,2,2,400,10,1
2,625,1275,1,8,8,5,2,1,0,1,2,112,1,1
1,235,9,2,11,4,85,2,2,5,2,2,120,1,2
2,3525,3165,2,14,8,375,2,1,0,2,2,680,1,1
1,5683,425,1,1,1,5,1,1,0,2,2,0,5,1
1,5333,165,2,1,1,0,1,1,0,2,1,62,28,1
2,4117,404,2,13,8,7,2,2,8,1,2,320,1,2
2,4217,504,2,11,8,1275,2,1,0,2,2,92,1,2
2,4117,125,1,9,4,25,1,1,0,1,2,0,196,1
1,3375,75,2,4,5,1,2,2,3,2,2,212,1,1
2,2567,125,2,13,4,121,2,2,67,2,2,140,259,2
2,2433,6625,1,2,4,55,2,1,0,2,1,100,1,2
2,2333,11625,1,9,4,835,2,1,0,2,2,160,301,2
2,3067,25,2,13,8,225,1,1,0,2,1,340,1,1
2,3717,4,2,8,5,5,2,1,0,2,1,280,1,1
2,2625,154,2,9,4,125,1,1,0,1,2,100,1,1
1,2975,665,2,9,4,25,1,1,0,2,2,300,1,1
1,23,1835,2,5,3,0,1,2,1,1,2,200,54,1
2,1725,3,2,4,4,4,1,1,0,2,2,160,41,1
