@relation data
@attribute V1 numeric
@attribute V2 numeric
@attribute V3 numeric
@attribute V4 numeric
@attribute V5 numeric
@attribute V6 numeric
@attribute V7 numeric
@attribute V8 numeric
@attribute V9 numeric
@attribute Class {'1','2','3','4'}
@data
26,11,43,48,23,93,101,43,37,'1'
20,14,41,45,6,57,5,44,27,'1'
37,93,33,96,11,34,75,70,67,'1'
65,65,41,103,53,17,79,78,80,'1'
36,63,25,104,70,103,84,98,56,'1'
41,29,52,91,79,51,11,83,58,'1'
38,24,88,88,96,65,12,81,60,'1'
22,51,53,76,35,97,28,64,38,'1'
66,20,36,51,28,77,45,6,78,'1'
46,47,40,98,100,41,22,90,64,'1'
63,48,30,29,17,22,47,104,81,'1'
89,90,65,58,63,84,54,27,20,'1'
55,58,3,100,62,11,48,87,75,'1'
67,86,54,68,75,16,37,49,19,'1'
76,62,10,21,98,68,15,103,10,'1'
10,85,77,75,83,101,67,30,36,'1'
18,73,74,59,58,62,63,18,44,'1'
79,33,63,89,15,28,70,89,91,'1'
38,2,76,105,36,61,51,99,43,'1'
62,94,67,40,60,70,21,7,68,'1'
33,67,72,80,37,92,68,56,47,'1'
83,34,12,7,89,12,60,100,99,'1'
39,55,78,64,85,9,36,47,63,'1'
8,68,5,61,32,94,20,55,14,'1'
28,88,41,35,21,104,30,28,89,'1'
19,91,60,86,29,15,61,67,45,'1'
70,54,1,28,13,53,56,65,76,'1'
43,36,2,93,45,91,13,82,52,'1'
90,19,4,1,95,18,49,62,4,'1'
58,89,66,84,44,55,83,5,83,'1'
47,77,59,102,9,30,72,76,70,'1'
50,7,95,9,87,66,81,12,85,'1'
60,74,36,6,26,44,76,92,79,'1'
82,69,24,2,43,27,82,10,97,'1'
29,66,32,52,34,105,52,101,54,'1'
45,84,81,55,73,54,55,2,15,'1'
57,18,6,31,16,88,27,86,69,'1'
38,44,42,46,31,3,42,9,61,'1'
21,71,30,54,74,95,44,24,42,'1'
21,71,30,54,74,95,44,24,42,'1'
27,60,26,85,47,98,33,72,35,'1'
10,78,46,72,80,89,38,54,33,'1'
13,79,37,71,68,73,43,52,34,'1'
74,15,64,56,42,7,31,45,87,'1'
86,21,56,83,8,19,57,66,3,'1'
9,46,31,23,3,72,17,51,24,'1'
88,59,50,26,7,74,23,91,11,'1'
40,70,49,24,105,71,19,29,65,'1'
1,82,91,34,104,64,32,105,41,'1'
87,92,89,32,97,59,91,32,5,'3'
61,4,85,77,56,47,99,84,86,'3'
91,28,20,42,18,87,105,39,62,'3'
71,39,87,18,88,75,40,16,98,'3'
68,98,82,101,59,48,98,1,88,'3'
72,80,44,41,38,39,85,41,90,'3'
51,76,17,5,2,20,66,96,72,'3'
48,81,70,62,30,32,71,4,74,'3'
81,103,80,14,5,85,8,15,29,'3'
77,104,84,11,94,67,4,13,6,'3'
75,61,92,39,41,81,94,37,100,'3'
85,5,15,30,84,86,104,26,8,'3'
80,102,19,65,82,76,6,8,102,'3'
69,50,83,12,99,78,103,14,94,'3'
84,6,57,38,4,63,92,36,104,'3'
73,72,73,36,1,79,100,35,96,'3'
44,101,5,8,33,45,80,97,71,'3'
54,95,68,73,49,60,87,3,82,'3'
59,3,90,33,92,46,64,33,93,'3'
53,100,96,20,90,56,69,22,92,'3'
85,96,71,95,54,42,62,53,105,'3'
7,10,45,74,52,8,102,63,95,'4'
64,49,39,22,51,83,18,11,2,'4'
4,32,1,19,48,14,93,20,1,'4'
92,57,34,25,61,23,86,25,40,'4'
34,13,14,60,81,2,3,58,53,'4'
95,99,16,13,64,36,35,19,51,'4'
93,87,61,27,76,35,59,31,103,'4'
94,26,38,17,50,21,34,21,7,'4'
12,75,13,70,91,10,90,61,101,'4'
23,53,35,99,77,26,41,93,16,'4'
16,52,29,67,103,37,29,59,84,'4'
52,35,21,87,67,5,97,80,73,'4'
2,40,38,90,101,38,53,85,77,'4'
56,45,28,97,65,25,73,94,28,'4'
25,16,9,69,25,82,77,60,31,'2'
11,38,7,47,78,13,96,50,12,'2'
25,64,94,79,66,40,78,77,49,'2'
5,1,18,3,20,33,88,88,13,'2'
6,17,47,53,10,1,65,40,39,'2'
17,9,23,10,57,31,1,95,26,'2'
14,37,27,37,14,96,9,23,23,'2'
32,41,86,81,46,102,46,68,48,'2'
11,48,74,57,22,80,26,48,21,'2'
15,12,51,43,102,52,89,34,25,'2'
11,25,62,66,19,69,2,57,17,'2'
14,31,80,49,40,49,25,38,22,'2'
3,8,8,44,93,43,7,42,9,'2'
49,42,69,92,55,100,50,75,66,'2'
31,22,93,63,39,6,58,17,59,'2'
35,43,79,94,69,4,39,79,46,'2'
24,23,55,50,24,90,10,46,30,'2'
24,56,48,82,72,29,24,71,32,'2'
42,97,75,16,27,24,74,73,57,'2'
78,30,22,78,12,58,16,69,18,'2'
30,83,58,15,86,50,14,74,50,'2'
42,27,11,4,71,99,95,102,55,'2'
