@relation data
@attribute V1 numeric
@attribute V2 numeric
@attribute V3 numeric
@attribute V4 numeric
@attribute V5 numeric
@attribute V6 numeric
@attribute V7 numeric
@attribute V8 numeric
@attribute V9 numeric
@attribute V10 numeric
@attribute V11 numeric
@attribute V12 numeric
@attribute V13 numeric
@attribute V14 numeric
@attribute V15 numeric
@attribute V16 numeric
@attribute class {'1','2'}
@data
141.4,54,48,25.4,31.1,60.6,107.1,66.1,728.3,211.4,83.3,28.3,21.4,34.2,109.6,80.7,'2'
64.8078,40.4065,71.2361,109.675,92.8824,177.631,82.1248,97.8676,465.986,336.502,70.8425,20,40.8,52.4759,33.847,223.81,'2'
172.52,135.622,135.315,95.2731,148.97,306.531,145.671,176.739,1237.09,475.062,96.4238,63.5921,34.7494,158.482,81.5421,326.629,'2'
62.3699,195.011,138.59,109.031,183.764,217.784,138.311,141.657,598.417,397.643,126.227,125.576,46.2895,185.623,70.3637,336.017,'2'
97.9557,57.9571,94.8946,109.384,66.7323,123.057,119.179,105.302,674.058,307.132,68.9771,25.7134,20,112.241,20,216.115,'2'
266.077,72.453,141.783,96.7081,89.0047,200.911,169.161,126.793,1014.13,202.16,111.802,22.069,48.302,91.2949,145.635,273.26,'2'
100.224,66.1931,110.192,123.586,125.689,353.237,207.924,153.724,612.403,177.242,93.0596,38.8592,51.4748,174.127,35.277,200.137,'2'
121.957,51.3149,96.553,54.8597,71.1488,172.766,158.333,140.61,869.652,304.26,96.0466,24.4758,25.573,129.469,152.932,153.945,'2'
102.668,81.647,64.1761,66.6123,50.255,121.322,179.79,96.1249,660.554,261.368,73.712,45.4523,58.3292,164.477,72.6679,180.695,'2'
57.0317,90.7276,115.529,117.935,198.303,462.323,248.324,138.446,609.978,296.565,80.4723,96.2738,87.4836,162.828,20,253.242,'2'
53.2497,155.506,93.7714,70.6533,158.277,281.747,123.643,139.835,570.594,322.615,78.4459,55.3278,40.262,170.919,50.5656,220.532,'2'
73.7781,79.4212,20,47.7572,57.5804,95.828,119.445,23.7219,405.78,254.252,79.4212,21.8408,33.754,114.847,27.9019,222.275,'2'
92.9181,84.5117,126.207,68.1474,74.0879,91.9093,158.6,218.341,622.518,296.464,94.4873,35.4187,55.706,159.496,57.3873,226.971,'2'
111.828,63.8088,93.1088,55.5072,42.3222,89.3649,139.338,99.2944,508.029,293.651,103.201,55.3444,26.8583,90.1788,52.5772,264.839,'2'
43.1108,51.3124,20,51.8732,20,119.098,64.0704,20,375.309,250.884,55.5183,42.1995,37.0823,78.6509,20,129.122,'1'
41.8517,21.7799,47.4034,50.8199,44.9834,68.1869,73.4539,62.3504,326.272,250.54,60.0728,20,20,82.8492,40.9975,149.755,'1'
115.961,29.2567,20,52.7094,73.0824,140.361,25.111,23.9265,470.002,349.54,70.1212,20,30.0858,50.222,22.1498,45.7209,'1'
55.9398,185.651,91.8065,73.8732,90.8895,87.7308,237.719,148.969,882.912,432.133,89.8705,46.2599,70.0012,81.4133,70.5107,396.164,'1'
20.0494,41.9215,20,43.9467,41.4152,67.2365,83.1342,20.9608,353.093,231.48,42.5291,20,30.9855,65.7176,20,118.676,'1'
35.9822,38.5855,20,32.356,29.0089,171.543,80.4252,20,280.419,293.622,43.3273,30.6825,20,68.5242,20,92.8842,'1'
52.3152,58.2256,20,44.8872,40.6541,86.4998,68.0497,21.1657,456.54,247.998,55.5899,26.5969,20,79.8705,20,104.151,'1'
30.1,20,20,20,20,88.4,20,20,115.3,127,20.1,20,20,20,20,20,'2'
45.779,64.0469,61.8635,77.8389,42.3583,169.906,126.747,98.5086,383.554,211.5,65.2842,23.9084,30.1676,72.5987,48.3263,111.791,'2'
51.2685,51.4297,42.4819,61.3449,43.2074,57.6368,50.3012,68.0356,598.374,171.459,54.3317,25.6343,21.12,60.0551,20,154.853,'2'
114.211,54.4407,38.3967,65.1004,58.6284,230.217,58.9547,52.4828,677.218,245.717,65.2092,25.3984,30.5651,103.769,56.8337,146.082,'2'
161.106,182.504,31.4012,86.4969,96.0894,102.976,116.914,41.6497,243.011,173.404,100.025,60.0969,176.601,113.225,38.2882,159.794,'2'
45.8125,47.5093,58.7227,38.214,63.5179,122.019,47.1404,84.0265,562.587,184.578,44.4109,21.6153,20,94.3546,33.6401,127.183,'2'
46.5908,20,20,20,20.7825,29.6795,20,20,143.236,170.538,29.0004,20,20,20,20,20.307,'2'
36.125,65.3363,69.686,57.8274,64.3748,73.944,131.222,88.5039,425.121,170.094,56.1791,37.4986,34.1562,116.021,45.9689,114.144,'2'
