@relation data
@attribute V1 numeric
@attribute V2 numeric
@attribute V3 numeric
@attribute V4 numeric
@attribute V5 numeric
@attribute V6 numeric
@attribute V7 numeric
@attribute V8 numeric
@attribute V9 numeric
@attribute V10 numeric
@attribute V11 numeric
@attribute V12 numeric
@attribute V13 numeric
@attribute V14 numeric
@attribute V15 numeric
@attribute V16 numeric
@attribute V17 numeric
@attribute V18 numeric
@attribute V19 numeric
@attribute V20 numeric
@attribute V21 numeric
@attribute V22 numeric
@attribute V23 numeric
@attribute V24 numeric
@attribute V25 numeric
@attribute V26 numeric
@attribute V27 numeric
@attribute V28 numeric
@attribute V29 numeric
@attribute V30 numeric
@attribute V31 numeric
@attribute V32 numeric
@attribute V33 numeric
@attribute V34 numeric
@attribute V35 numeric
@attribute V36 numeric
@attribute V37 numeric
@attribute V38 numeric
@attribute V39 numeric
@attribute V40 numeric
@attribute V41 numeric
@attribute V42 numeric
@attribute V43 numeric
@attribute V44 numeric
@attribute V45 numeric
@attribute V46 numeric
@attribute V47 numeric
@attribute V48 numeric
@attribute V49 numeric
@attribute V50 numeric
@attribute class {'1','2'}
@data
9393.287,12865.943,917.873,12364.282,1746.951,18544.262,6877.381,32890.375,1044.991,611.975,2509.787,3032.596,4362.491,995.841,16334.688,23895.747,7515.422,70.723,6023.547,1054.118,1407.849,1508.583,2036.829,3194.84,17046.698,2084.628,14192.734,538.716,8326.677,406.99,1010.168,1448.143,2680.556,2220.175,673.119,1142.852,613.746,43.523,1649.992,4801.948,1258.054,1014.838,5664.589,4767.557,9273.253,8165.354,278.013,2768.269,2181.961,138.846,'1'
19314.739,18757.821,398.043,2658.499,310.377,14924.476,3292.34,44099.354,262.826,347.753,1883.607,4300.765,3189.136,337.698,8841.781,20438.547,937.691,70.984,4693.002,7708.71,335.211,1313.269,2073.894,2307.409,31422.576,5134.757,6029.936,264.196,5071.792,220.022,1010.554,2103.878,2399.24,917.133,233.928,272.235,677.733,416.893,3815.042,53315.874,3889.515,218.823,2271.801,2023.314,9543.365,1027.636,189.186,1086.722,807.331,565.066,'1'
14736.759,17289.769,657.334,13666.696,1981.459,18297.85,9345.931,45979.719,1294.366,82.052,2636.061,3101.015,4256.799,1505.961,12875.344,44839.942,3098.637,2399.626,4261.849,3279.011,1190.891,781.662,1635.932,3396.089,16934.726,2572.274,7587.835,608.386,10157.298,635.136,2804.643,1001.258,3590.576,1880.333,458.651,1259.275,1188.788,190.467,1605.087,12123.351,2777.298,1084.741,4191.8,8443.352,5931.123,9645.941,338.532,4348.862,3028.127,5015.629,'1'
21113.927,22227.184,939.435,9964.97,2188.842,14925.307,6952.795,48842.015,657.512,149.133,3383.518,3211.339,2910.417,611.209,8655.992,79836.623,6799.298,96.992,3070.066,3739.935,508.454,533.442,1043.121,3060.231,18997.612,1776.31,15773.07,248.13,8013.505,77.81,3527.25,2813.901,4523.055,3792.665,257.134,1565.414,290.339,107.831,1865.09,7669.494,709.464,2630.23,5705.79,2004.999,5914.497,838.49,519.469,771.062,253.038,3418.099,'1'
17853.876,18661.121,654.506,11180.347,2333.067,11678.515,4042.482,49886.654,1295.505,114.534,1194.313,3053.639,5514.078,1572.33,14739.617,43582.657,7053.02,480.836,4638.585,4551.973,580.081,971.7,1713.383,4299.891,22566.99,2285.78,11753.49,569.95,5391.422,1334.065,3133.259,2017.336,5508.21,3890.489,436.924,1625.269,386.959,248.948,2323.456,26112.896,2810.206,787.735,5873.079,5729.549,7403.73,3422.318,281.352,1842.71,1894.624,625.112,'1'
19044.425,26299.086,367.167,2338.816,2167.865,20369.705,4303.402,38441.5,949.886,1385.402,3835.126,4361.747,7214.622,3881.368,20983.079,19157.67,2220.334,34.737,7556.685,4265.496,801.716,1091.635,1988.272,2056.772,21124.676,1911.96,5785.417,188.756,5717.405,49.372,1554.17,2327.507,4351.21,2403.424,191.9,697.643,118.554,439.974,3300.567,26124.849,2369.881,1289.889,8886.414,8780.915,6295.756,6180.661,325.093,9923.106,1372.476,277.411,'1'
7065.723,6982.996,1166.504,14354.66,1188.428,18809.069,2876.82,39650.815,1362.913,777.93,2945.726,5892.215,4734.391,3199.589,19237.973,20102.019,1895.304,81,7496.126,1271.805,1769.657,761.095,1804.623,3996.806,24647.321,2650.241,7074.169,87.685,3615.496,1129.7,1650.607,1912.633,2370.289,994.934,237.049,193.626,1214.847,467.99,3094.689,9279.713,3410.951,416.933,4101.077,8734.992,9102.894,6034.819,353.115,7427.382,966.054,183.299,'1'
8326.875,10360.565,457.349,14802.931,370.51,16422.73,6330.245,41460.507,974.963,1437.547,1791.573,3061.053,5521.054,3441.85,15710.452,42415.61,11353.489,649.58,6534.183,14318.029,605.03,1206.134,1405.727,3437.477,11356.155,2734.233,12791.308,77.869,8407.82,3822.482,3291.076,2843.266,3055.842,840.311,277.81,608.743,365.489,356.464,1363.592,12487.401,2325.969,495.18,3190.29,4548.786,5010.189,4632.662,428.462,8628.882,4083.293,4647.114,'1'
11787.848,13377.441,751.404,4038.246,1451.649,15087.896,2392.097,44654.158,1077.226,56.883,2821.986,3014.786,5769.673,228.765,14203.855,17904.49,2284.067,26.888,2194.407,12686.167,543.513,1576.796,1758.349,2150.912,24944.862,2347.305,7835.998,288.849,1986.651,109.552,1377.735,2767.951,4017.119,1815.365,679.618,1086.812,1773.899,724.317,1646.695,32276.203,966.285,819.838,3048.235,1709.682,8179.49,3196.788,167.567,1215.598,1960.41,428.891,'1'
12162.508,11034.943,1281.372,6978.382,1523.759,12098.156,4423.108,43376.523,1299.339,1229.543,2789.751,3611.121,3038.52,430.776,11578.984,17721.093,859.599,1019.031,4003.073,4685.485,610.95,818.744,2534.072,1757.09,13452.511,4656.294,9454.266,24.935,5581.91,1600.353,1207.864,1640.813,2757.88,723.643,629.396,77.601,1104.01,96.102,1816.998,21153.703,1940.314,1193.398,5391.62,8211.185,3478.714,7847.498,130.862,5775.121,1699.987,3354.774,'1'
