@relation data
@attribute V1 {'1','2','3','4'}
@attribute V2 numeric
@attribute V3 {'1','2','3','4','5'}
@attribute V4 {'1','10','2','3','4','5','6','7','8','9'}
@attribute V5 numeric
@attribute V6 {'1','2','3','4','5'}
@attribute V7 {'1','2','3','4','5'}
@attribute V8 numeric
@attribute V9 {'1','2','3','4'}
@attribute V10 {'1','2','3'}
@attribute V11 numeric
@attribute V12 {'1','2','3','4'}
@attribute V13 numeric
@attribute V14 {'1','2','3'}
@attribute V15 {'1','2','3'}
@attribute V16 numeric
@attribute V17 {'1','2','3','4'}
@attribute V18 numeric
@attribute V19 {'1','2'}
@attribute V20 {'1','2'}
@attribute class {'1','2'}
@data
'1',6,'5','7',1169,'5','5',4,'3','1',4,'1',67,'3','2',2,'3',1,'2','1','1'
'2',48,'3','7',5951,'1','3',2,'2','1',2,'1',22,'3','2',1,'3',1,'1','1','2'
'4',12,'5','10',2096,'1','4',2,'3','1',3,'1',49,'3','2',1,'2',2,'1','1','1'
'1',42,'3','6',7882,'1','4',2,'3','3',4,'2',45,'3','3',1,'3',2,'1','1','1'
'1',24,'4','1',4870,'1','3',3,'3','1',4,'4',53,'3','3',2,'3',2,'1','1','2'
'4',36,'3','10',9055,'5','3',2,'3','1',4,'4',35,'3','3',1,'2',2,'2','1','1'
'4',24,'3','6',2835,'3','5',3,'3','1',4,'2',53,'3','2',1,'3',1,'1','1','1'
'2',36,'3','4',6948,'1','3',2,'3','1',2,'3',35,'3','1',1,'4',1,'2','1','1'
'4',12,'3','7',3059,'4','4',2,'1','1',4,'1',61,'3','2',1,'2',1,'1','1','1'
'2',30,'5','1',5234,'1','1',4,'4','1',2,'3',28,'3','2',2,'4',1,'1','1','2'
'2',12,'3','1',1295,'1','2',3,'2','1',1,'3',25,'3','1',1,'3',1,'1','1','2'
'1',48,'3','3',4308,'1','2',3,'2','1',4,'2',24,'3','1',1,'3',1,'1','1','2'
'2',12,'3','7',1567,'1','3',1,'2','1',1,'3',22,'3','2',1,'3',1,'2','1','1'
'1',24,'5','1',1199,'1','5',4,'3','1',4,'3',60,'3','2',2,'2',1,'1','1','2'
'1',15,'3','1',1403,'1','3',2,'2','1',4,'3',28,'3','1',1,'3',1,'1','1','1'
'1',24,'3','7',1282,'2','3',4,'2','1',2,'3',32,'3','2',1,'2',1,'1','1','2'
'4',24,'5','7',2424,'5','5',4,'3','1',4,'2',53,'3','2',2,'3',1,'1','1','1'
'1',30,'1','3',8072,'5','2',2,'3','1',3,'3',25,'1','2',3,'3',1,'1','1','1'
'2',24,'3','4',12579,'1','5',4,'2','1',2,'4',44,'3','3',1,'4',1,'2','1','2'
'4',24,'3','7',3430,'3','5',3,'3','1',2,'3',31,'3','2',1,'3',2,'2','1','1'
'4',9,'5','1',2134,'1','3',4,'3','1',4,'3',48,'3','2',3,'3',1,'2','1','1'
'1',6,'3','7',2647,'3','3',2,'3','1',3,'1',44,'3','1',1,'3',2,'1','1','1'
'1',10,'5','1',2241,'1','2',1,'3','1',3,'1',48,'3','1',2,'2',2,'1','2','1'
'2',12,'5','4',1804,'2','2',3,'3','1',4,'2',44,'3','2',1,'3',1,'1','1','1'
'4',10,'5','6',2069,'5','3',2,'4','1',1,'3',26,'3','2',2,'3',1,'1','2','1'
'1',6,'3','6',1374,'1','3',1,'3','1',2,'1',36,'1','2',1,'2',1,'2','1','1'
'4',6,'1','7',426,'1','5',4,'4','1',4,'3',39,'3','2',1,'2',1,'1','1','1'
'3',12,'2','7',409,'4','3',3,'2','1',3,'1',42,'3','1',2,'3',1,'1','1','1'
'2',7,'3','7',2415,'1','3',3,'3','3',2,'1',34,'3','2',1,'3',1,'1','1','1'
'1',60,'4','3',6836,'1','5',3,'3','1',4,'4',63,'3','2',2,'3',1,'2','1','2'
'2',18,'3','3',1913,'4','2',3,'4','1',3,'1',36,'1','2',1,'3',1,'2','1','1'
'1',24,'3','6',4020,'1','3',2,'3','1',2,'3',27,'2','2',1,'3',1,'1','1','1'
'2',18,'3','1',5866,'2','3',2,'3','1',2,'3',30,'3','2',2,'3',1,'2','1','1'
'4',12,'5','3',1264,'5','5',4,'3','1',4,'4',57,'3','1',1,'2',1,'1','1','1'
'3',12,'3','6',1474,'1','2',4,'2','1',1,'2',33,'1','2',1,'4',1,'2','1','1'
'2',45,'5','7',4746,'1','2',4,'3','1',2,'2',25,'3','2',2,'2',1,'1','1','2'
'4',48,'5','10',6110,'1','3',1,'3','1',3,'4',31,'1','3',1,'3',1,'2','1','1'
'3',18,'3','7',2100,'1','3',4,'3','2',2,'1',37,'2','2',1,'3',1,'1','1','2'
'3',10,'3','8',1225,'1','3',2,'3','1',2,'3',37,'3','2',1,'3',1,'2','1','1'
'2',9,'3','7',458,'1','3',4,'3','1',3,'1',24,'3','2',1,'3',1,'1','1','1'
'4',30,'3','7',2333,'3','5',4,'3','1',2,'3',30,'1','2',1,'4',1,'1','1','1'
'2',12,'3','7',1158,'3','3',3,'1','1',1,'3',26,'3','2',1,'3',1,'2','1','1'
'2',18,'4','9',6204,'1','3',2,'3','1',4,'1',44,'3','2',1,'2',2,'2','1','1'
'1',30,'5','4',6187,'2','4',1,'4','1',4,'3',24,'3','1',2,'3',1,'1','1','1'
'1',48,'5','4',6143,'1','5',4,'2','1',4,'4',58,'2','3',2,'2',1,'1','1','2'
'4',11,'5','1',1393,'1','2',4,'2','1',4,'3',35,'3','2',2,'4',1,'1','1','1'
'4',36,'3','7',2299,'3','5',4,'3','1',4,'3',39,'3','2',1,'3',1,'1','1','1'
'1',6,'3','4',1352,'3','1',1,'2','1',2,'2',23,'3','1',1,'1',1,'2','1','1'
'4',11,'5','1',7228,'1','3',1,'3','1',4,'2',39,'3','2',2,'2',1,'1','1','1'
'4',12,'3','7',2073,'2','3',4,'2','2',2,'1',28,'3','2',1,'3',1,'1','1','1'
'2',24,'4','6',2333,'5','2',4,'3','1',2,'2',29,'1','2',1,'2',1,'1','1','1'
'2',27,'4','4',5965,'1','5',1,'3','1',2,'3',30,'3','2',2,'4',1,'2','1','1'
'4',12,'3','7',1262,'1','3',3,'3','1',2,'3',25,'3','2',1,'3',1,'1','1','1'
'4',18,'3','4',3378,'5','3',2,'3','1',1,'2',31,'3','2',1,'3',1,'2','1','1'
'2',36,'4','1',2225,'1','5',4,'3','1',4,'4',57,'1','3',2,'3',1,'2','1','2'
'4',6,'2','1',783,'5','3',1,'3','3',2,'1',26,'2','2',1,'2',2,'1','1','1'
'2',12,'3','7',6468,'5','1',2,'3','1',1,'4',52,'3','2',1,'4',1,'2','1','2'
'4',36,'5','7',9566,'1','3',2,'2','1',2,'3',31,'2','2',2,'3',1,'1','1','1'
'3',18,'3','1',1961,'1','5',3,'2','1',2,'3',23,'3','2',1,'4',1,'1','1','1'
'1',36,'5','6',6229,'1','2',4,'2','2',4,'4',23,'3','1',2,'2',1,'2','1','2'
'2',9,'3','3',1391,'1','3',2,'4','1',1,'1',27,'1','2',1,'3',1,'2','1','1'
'2',15,'5','7',1537,'5','5',4,'3','3',4,'1',50,'3','2',2,'3',1,'2','1','1'
'2',36,'1','3',1953,'1','5',4,'3','1',4,'4',61,'3','3',1,'4',1,'2','1','2'
'2',48,'1','3',14421,'1','3',2,'3','1',2,'3',25,'3','2',1,'3',1,'2','1','2'
'4',24,'3','7',3181,'1','2',4,'2','1',4,'2',26,'3','2',1,'3',1,'2','1','1'
'4',27,'3','9',5190,'5','5',4,'3','1',4,'2',48,'3','2',4,'3',2,'2','1','1'
'4',12,'3','7',2171,'1','2',2,'2','1',2,'3',29,'1','2',1,'3',1,'1','1','1'
'2',12,'3','1',1007,'4','3',4,'4','1',1,'1',22,'3','2',1,'3',1,'1','1','1'
'4',36,'3','10',1819,'1','3',4,'3','1',4,'4',37,'2','3',1,'3',1,'2','1','2'
'4',36,'3','7',2394,'5','3',4,'2','1',4,'3',25,'3','2',1,'3',1,'1','1','1'
