@relation data
@attribute V1 numeric
@attribute V2 numeric
@attribute V3 numeric
@attribute V4 numeric
@attribute V5 numeric
@attribute V6 numeric
@attribute V7 numeric
@attribute class {'1','2','3'}
@data
2,12669,9656,7561,214,2674,1338,'3'
2,7057,9810,9568,1762,3293,1776,'3'
2,6353,8808,7684,2405,3516,7844,'3'
1,13265,1196,4221,6404,507,1788,'3'
2,22615,5410,7198,3915,1777,5185,'3'
2,9413,8259,5126,666,1795,1451,'3'
2,12126,3199,6975,480,3140,545,'3'
2,7579,4956,9426,1669,3321,2566,'3'
1,5963,3648,6192,425,1716,750,'3'
2,6006,11093,18881,1159,7425,2098,'3'
2,3366,5403,12974,4400,5977,1744,'3'
2,13146,1124,4523,1420,549,497,'3'
2,31714,12319,11757,287,3881,2931,'3'
2,21217,6208,14982,3095,6707,602,'3'
2,24653,9465,12091,294,5058,2168,'3'
1,10253,1114,3821,397,964,412,'3'
2,1020,8816,12121,134,4508,1080,'3'
1,5876,6157,2933,839,370,4478,'3'
2,18601,6327,10099,2205,2767,3181,'3'
1,7780,2495,9464,669,2518,501,'3'
2,17546,4519,4602,1066,2259,2124,'3'
1,5567,871,2010,3383,375,569,'3'
1,31276,1917,4469,9408,2381,4334,'3'
2,26373,36423,22019,5154,4337,16523,'3'
2,22647,9776,13792,2915,4482,5778,'3'
2,16165,4230,7595,201,4003,57,'3'
1,9898,961,2861,3151,242,833,'3'
1,14276,803,3045,485,100,518,'3'
2,4113,20484,25957,1158,8604,5206,'3'
1,43088,2100,2609,1200,1107,823,'3'
1,18815,3610,11107,1148,2134,2963,'3'
1,2612,4339,3133,2088,820,985,'3'
1,21632,1318,2886,266,918,405,'3'
1,29729,4786,7326,6130,361,1083,'3'
1,1502,1979,2262,425,483,395,'3'
2,688,5491,11091,833,4239,436,'3'
1,29955,4362,5428,1729,862,4626,'3'
2,15168,10556,12477,1920,6506,714,'3'
2,4591,15729,16709,33,6956,433,'3'
1,56159,555,902,10002,212,2916,'3'
1,24025,4332,4757,9510,1145,5864,'3'
1,19176,3065,5956,2033,2575,2802,'3'
2,10850,7555,14961,188,6899,46,'3'
2,630,11095,23998,787,9529,72,'3'
2,9670,7027,10471,541,4618,65,'3'
2,5181,22044,21531,1740,7353,4985,'3'
2,3103,14069,21955,1668,6792,1452,'3'
2,44466,54259,55571,7782,24171,6465,'3'
2,11519,6152,10868,584,5121,1476,'3'
2,4967,21412,28921,1798,13583,1163,'3'
1,6269,1095,1980,3860,609,2162,'3'
1,3347,4051,6996,239,1538,301,'3'
2,40721,3916,5876,532,2587,1278,'3'
2,491,10473,11532,744,5611,224,'3'
1,27329,1449,1947,2436,204,1333,'3'
1,5264,3683,5005,1057,2024,1130,'3'
2,4098,29892,26866,2616,17740,1340,'3'
2,5417,9933,10487,38,7572,1282,'3'
1,13779,1970,1648,596,227,436,'3'
1,6137,5360,8040,129,3084,1603,'3'
2,8590,3045,7854,96,4095,225,'3'
2,35942,38369,59598,3254,26701,2017,'3'
2,7823,6245,6544,4154,4074,964,'3'
2,9396,11601,15775,2896,7677,1295,'3'
1,4760,1227,3250,3724,1247,1145,'3'
2,85,20959,45828,36,24231,1423,'3'
1,9,1534,7417,175,3468,27,'3'
2,19913,6759,13462,1256,5141,834,'3'
1,2446,7260,3993,5870,788,3095,'3'
1,8352,2820,1293,779,656,144,'3'
1,16705,2037,3202,10643,116,1365,'3'
1,18291,1266,21042,5373,4173,14472,'3'
1,4420,5139,2661,8872,1321,181,'3'
2,19899,5332,8713,8132,764,648,'3'
2,8190,6343,9794,1285,1901,1780,'3'
1,20398,1137,3,4407,3,975,'3'
1,717,3587,6532,7530,529,894,'3'
2,12205,12697,28540,869,12034,1009,'3'
1,10766,1175,2067,2096,301,167,'3'
1,1640,3259,3655,868,1202,1653,'3'
1,7005,829,3009,430,610,529,'3'
2,219,9540,14403,283,7818,156,'3'
2,10362,9232,11009,737,3537,2342,'3'
1,20874,1563,1783,2320,550,772,'3'
2,11867,3327,4814,1178,3837,120,'3'
2,16117,46197,92780,1026,40827,2944,'3'
2,22925,73498,32114,987,20070,903,'3'
1,43265,5025,8117,6312,1579,14351,'3'
1,7864,542,4042,9735,165,46,'3'
